user,object_name,review_text,rating_value,date,likes,url_address,url_id
Дмитрий Бобушко,Lerna Uzbekistan,"Тоже хотел рассказать про опыт онлайн-обучения. Начал проходить курс Управление Командами. Во-первых, программа хорошо выстроена: от базовых принципов до практических инструментов управления. Во-вторых, очень порадовала прогоамма по мотивации, делегированию и выстраиванию коммуникаций. Материалы все четко и по делу. Рекомендую топ и управленцам!",5,2025-06-20 16:21:14,17,https://sharh.commeta.uz/en/review/07bf5e3e-cf4e-488a-8a6e-e919edcf3e2b,/review/07bf5e3e-cf4e-488a-8a6e-e919edcf3e2b
Anonymous user,Lerna Uzbekistan,"Платформа топовая, все понятно и легка в использовании. Опытные учителя благодаря которым леги и интересно закончил курсы по дата аналатике🔥",5,2025-06-13 11:59:10,18,https://sharh.commeta.uz/en/review/406288e3-ac69-44d5-bf8d-3802253dd2f0,/review/406288e3-ac69-44d5-bf8d-3802253dd2f0
Амин Мирмуминов,Lerna Uzbekistan,"Отлично и очень удобная платформа, благодарю ❤️‍🩹",5,2025-06-13 11:24:31,21,https://sharh.commeta.uz/en/review/6aa67444-f940-4f1a-9e08-a57a3509c29e,/review/6aa67444-f940-4f1a-9e08-a57a3509c29e
Севара Усманова,Lerna Uzbekistan,"Крутая платформа, очень удобно👍🏻 Приобрела несколько курсов в Скиллбокс, лучшее решение для саморазвития. И преподаватели ТОП🙌🏻",5,2025-06-13 09:40:12,17,https://sharh.commeta.uz/en/review/e97be576-6748-41dd-a592-37150843e6b0,/review/e97be576-6748-41dd-a592-37150843e6b0
Нафиса Розметова,Lerna Uzbekistan,"«Очень крутой курс! Всё чётко, понятно и по делу. Огромная благодарность за такой качественный подход и вдохновение в каждом уроке!»",5,2025-06-12 22:05:17,20,https://sharh.commeta.uz/en/review/29e9ddfb-d9f9-4d5e-8c1d-4ad1d43f7e02,/review/29e9ddfb-d9f9-4d5e-8c1d-4ad1d43f7e02
Anonymous user,Lerna Uzbekistan,"Лучший курс по сео маркетингу советую всем, skillbox lerna самые проверенные курсы",5,2025-06-11 13:56:46,16,https://sharh.commeta.uz/en/review/7eaaa39a-312b-4a2a-a641-2557838724fb,/review/7eaaa39a-312b-4a2a-a641-2557838724fb
Anonymous user,Rayhon Milliy Taomlari,Rayhon milliy taomllarida hamma taomlari mazali lekin mijozlarga boʼlgan iliq munosabati menga yoqdi narxlari ham Arzon oilaviy borishni maslahat beraman,5,2025-05-28 23:27:36,124,https://sharh.commeta.uz/en/review/85fbb032-4687-4914-a1b8-bd62c97b0da1,/review/85fbb032-4687-4914-a1b8-bd62c97b0da1
Mehriniso Aminova,TBC Bank,Bank bilan online aloqa juda qulay,4,2025-05-28 23:09:18,126,https://sharh.commeta.uz/en/review/7f2d78bf-a3f7-4a2a-97d3-c4fd3de00040,/review/7f2d78bf-a3f7-4a2a-97d3-c4fd3de00040
Anonymous user,TBC Bank,Men juda qiynalgan paytimda eishikminan pul topilmagan paytida Tbc jonimga ora kirdi hohlagan paytimda tez va oson kirdit olyamanTbc zor,5,2025-05-28 22:11:44,127,https://sharh.commeta.uz/en/review/3cee4586-a0d5-41ec-be37-f41cf0ccf7dd,/review/3cee4586-a0d5-41ec-be37-f41cf0ccf7dd
Sardor Pernaboyev,TBC Bank,Kridit olish uchun Juda yaxshi ilova masofavi olsa ham boladi va pul saqlasa ham,5,2025-05-28 21:39:57,112,https://sharh.commeta.uz/en/review/6c7cb8be-6653-44dd-bc8d-d4ba5e00d3f8,/review/6c7cb8be-6653-44dd-bc8d-d4ba5e00d3f8
Jahongir Xasanboyerv,TBC Bank,Juda yaxshi oʼnlayn va olayn tarzda ishlaydigan bank. Hizmat koʼrsatish tizimi juda yaxshi,5,2025-05-28 16:28:34,115,https://sharh.commeta.uz/en/review/dabc49fe-a997-4c47-8b09-ddee49834884,/review/dabc49fe-a997-4c47-8b09-ddee49834884
Шавкатбек Нозимов,TBC Bank,Ushbu bank ajoyib bank ayniqsa Salom cardiga gap yoq zor bank kartadan kartaga foizsiz virtual cartalarigayam zor,5,2025-05-28 13:06:47,107,https://sharh.commeta.uz/en/review/fa913a8d-0752-45f1-8ac5-a5d8035d5b8f,/review/fa913a8d-0752-45f1-8ac5-a5d8035d5b8f
Mohira Mahmudova,TBC Bank,Ishsz insonga xech waysi bank kredit Bermas edi shu TBC bank ishonib berdi men doim foydalanaman,5,2025-05-28 11:14:01,99,https://sharh.commeta.uz/en/review/50772855-6311-4067-a3c2-67fdcee94c66,/review/50772855-6311-4067-a3c2-67fdcee94c66
SHUKURXON ABDURASHIDOV,TBC Bank,TBC Bank ishimni tez bitiraman ortiqcha vaqt ketmida,5,2025-05-28 09:17:12,80,https://sharh.commeta.uz/en/review/77842963-dc87-41eb-828c-9e33c8995349,/review/77842963-dc87-41eb-828c-9e33c8995349
Elnura Nematullayeva,TBC Bank,TBC Bank ilovasi bilan kamunal toʻlovlar va barcha oʻtkazmalar juda qulay biz bu ilovadan har doim foydalanamiz bunda kredit olish ham juda oson,5,2025-05-28 07:51:19,79,https://sharh.commeta.uz/en/review/e2f83a61-2d7b-42b3-afec-de59b0ba9f3f,/review/e2f83a61-2d7b-42b3-afec-de59b0ba9f3f
shaxzod sulonaliyev,TBC Bank,TBS Bank zoʻr bank. Men 3 yildan beri foydalanaman. Xizmatlariga gap yoʻq. Kredit olishdayam qiynalmaysiz. Man TBS Bankni tavsiya qilgan boʻlardim,5,2025-05-28 03:32:13,82,https://sharh.commeta.uz/en/review/b1c577cf-a036-4080-848a-593b032a4474,/review/b1c577cf-a036-4080-848a-593b032a4474
Jayna Kuandikova,Kurorti.uz,Kurorti.uz dam olish uchun juda har tomonlama qulay joy xizmat korsatish muomilalari odamlarga hurmati juda yuqori.Hammaga shu yerga kelib dam olishni maslahat beraman,5,2025-05-20 16:06:00,149,https://sharh.commeta.uz/en/review/01139b9e-7294-4c3a-9b5f-f8825b7bd459,/review/01139b9e-7294-4c3a-9b5f-f8825b7bd459
aljahon shoymardonov,Oqtepa lavash,"Oqtepa Lavash — bu O‘zbekistondagi fast food’ni yaxshi ko‘radiganlar uchun tanish va sevimli joy. Birinchi bor kirganimda, taomlarining hidi va xizmat ko‘rsatish madaniyati darrov e'tiborimni tortgan. Menyusi oddiy, lekin har kimning didiga mos: lavash, burger, shaurma, hot-dog — nima xohlasangiz, t",5,2025-05-20 16:02:48,207,https://sharh.commeta.uz/en/review/6323089f-bd93-4c16-a781-c132ea87d876,/review/6323089f-bd93-4c16-a781-c132ea87d876
