step,epoch,timestamp,wall_time_s,train_loss,learning_rate,grad_norm,gpu_mem_allocated_gb,gpu_mem_reserved_gb,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos
10,0.0292,2026-02-24T15:22:09.347036,61.03,3.2857,1.8e-05,2.343545,5.482,6.947,,,,,,,,
20,0.0584,2026-02-24T15:22:43.074100,94.76,2.8641,3.8e-05,1.66383,5.482,6.947,,,,,,,,
30,0.0876,2026-02-24T15:23:15.128107,126.81,1.7975,5.8e-05,1.509422,5.483,6.947,,,,,,,,
40,0.1168,2026-02-24T15:23:47.706541,159.39,1.0216,7.800000000000001e-05,0.91296,5.483,6.947,,,,,,,,
50,0.146,2026-02-24T15:24:20.618188,192.3,0.8234,9.8e-05,0.477059,5.483,6.947,,,,,,,,
60,0.1752,2026-02-24T15:24:52.492016,224.18,0.5834,0.000118,0.583163,5.483,6.947,,,,,,,,
70,0.2044,2026-02-24T15:25:23.256238,254.94,0.5218,0.000138,0.485825,5.483,6.947,,,,,,,,
80,0.2336,2026-02-24T15:25:55.222187,286.91,0.4612,0.00015800000000000002,0.453172,5.483,6.947,,,,,,,,
90,0.2628,2026-02-24T15:26:27.566301,319.25,0.4844,0.00017800000000000002,0.592713,5.483,6.947,,,,,,,,
100,0.292,2026-02-24T15:27:00.665486,352.35,0.4875,0.00019800000000000002,0.501121,5.483,6.947,,,,,,,,
100,0.292,2026-02-24T15:27:38.536223,390.22,,,,5.483,7.912,0.452646,37.8642,16.084,4.041,,,,
110,0.3212,2026-02-24T15:28:27.734862,439.42,0.4517,0.00019995065603657316,0.48761,5.483,7.912,,,,,,,,
120,0.3504,2026-02-24T15:29:02.884239,474.57,0.4599,0.000199780146829205,0.418904,5.484,7.912,,,,,,,,
130,0.3796,2026-02-24T15:29:36.168607,507.85,0.4225,0.00019948807088287883,0.505711,5.486,7.912,,,,,,,,
140,0.4088,2026-02-24T15:30:10.050343,541.74,0.4152,0.00019907478404714436,0.492102,5.489,8.154,,,,,,,,
150,0.438,2026-02-24T15:30:42.691953,574.38,0.4782,0.00019854078984834903,0.404231,5.489,8.154,,,,,,,,
160,0.4672,2026-02-24T15:31:16.195290,607.88,0.4389,0.0001978867388761685,0.536355,5.489,8.154,,,,,,,,
170,0.4964,2026-02-24T15:31:49.301028,640.99,0.4135,0.00019711342799096361,0.518393,5.489,8.154,,,,,,,,
180,0.5255,2026-02-24T15:32:23.221075,674.91,0.4052,0.00019622179935292855,0.470563,5.489,8.154,,,,,,,,
190,0.5547,2026-02-24T15:32:55.774765,707.46,0.3925,0.00019521293927421388,0.464904,5.489,8.154,,,,,,,,
200,0.5839,2026-02-24T15:33:27.849388,739.54,0.4037,0.00019408807689542257,0.520782,5.489,8.154,,,,,,,,
200,0.5839,2026-02-24T15:34:06.782363,778.47,,,,5.489,8.455,0.395883,38.9285,15.644,3.93,,,,
210,0.6131,2026-02-24T15:34:52.590776,824.28,0.401,0.00019284858268809137,0.529916,5.489,8.455,,,,,,,,
220,0.6423,2026-02-24T15:35:25.825587,857.51,0.4064,0.0001914959667849825,0.449103,5.489,8.455,,,,,,,,
230,0.6715,2026-02-24T15:35:58.379971,890.07,0.4056,0.00019003187714021938,0.439608,5.489,8.455,,,,,,,,
240,0.7007,2026-02-24T15:36:30.562230,922.25,0.4217,0.0001884580975215084,0.511751,5.489,8.455,,,,,,,,
250,0.7299,2026-02-24T15:37:02.602398,954.29,0.3768,0.00018677654533689287,0.439082,5.489,8.455,,,,,,,,
260,0.7591,2026-02-24T15:37:35.128780,986.81,0.3585,0.00018498926929868642,0.51148,5.489,8.455,,,,,,,,
270,0.7883,2026-02-24T15:38:08.444626,1020.13,0.3536,0.00018309844692743283,0.488435,5.489,8.455,,,,,,,,
280,0.8175,2026-02-24T15:38:41.831539,1053.52,0.3732,0.00018110638189893267,0.443435,5.489,8.455,,,,,,,,
290,0.8467,2026-02-24T15:39:13.006420,1084.69,0.3412,0.00017901550123756906,0.511497,5.489,8.455,,,,,,,,
300,0.8759,2026-02-24T15:39:45.427527,1117.11,0.3733,0.00017682835235935236,0.481505,5.489,8.455,,,,,,,,
