step,epoch,timestamp,wall_time_s,train_loss,learning_rate,grad_norm,gpu_mem_allocated_gb,gpu_mem_reserved_gb,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos
10,0.0292,2026-02-22T00:17:33.159304,28.83,3.0409,1.8e-05,4.068872,5.434,6.945,,,,,,,,
20,0.0584,2026-02-22T00:17:59.098957,54.77,2.2597,3.8e-05,1.974486,5.434,6.945,,,,,,,,
30,0.0876,2026-02-22T00:18:24.442617,80.11,1.1633,5.8e-05,1.67356,5.435,6.945,,,,,,,,
40,0.1168,2026-02-22T00:18:50.860749,106.53,0.6346,7.800000000000001e-05,0.649918,5.435,6.945,,,,,,,,
50,0.146,2026-02-22T00:19:18.111142,133.78,0.5765,9.8e-05,0.457966,5.435,6.945,,,,,,,,
60,0.1752,2026-02-22T00:19:42.865686,158.54,0.4565,0.000118,0.599045,5.435,6.947,,,,,,,,
70,0.2044,2026-02-22T00:20:07.852697,183.52,0.4706,0.000138,0.471375,5.435,6.947,,,,,,,,
80,0.2336,2026-02-22T00:20:32.894530,208.57,0.4282,0.00015800000000000002,0.497894,5.435,6.947,,,,,,,,
90,0.2628,2026-02-22T00:20:58.254284,233.93,0.4473,0.00017800000000000002,0.581476,5.435,6.947,,,,,,,,
100,0.292,2026-02-22T00:21:24.802794,260.47,0.4587,0.00019800000000000002,0.518887,5.435,6.947,,,,,,,,
100,0.292,2026-02-22T00:21:55.579253,291.25,,,,5.435,7.848,0.435982,30.7731,19.79,4.972,,,,
110,0.3212,2026-02-22T00:22:23.905983,319.58,0.4347,0.00019995065603657316,0.468363,5.435,7.848,,,,,,,,
120,0.3504,2026-02-22T00:22:51.902801,347.58,0.4557,0.000199780146829205,0.427481,5.436,7.848,,,,,,,,
130,0.3796,2026-02-22T00:23:18.894114,374.57,0.4216,0.00019948807088287883,0.482007,5.439,7.848,,,,,,,,
140,0.4088,2026-02-22T00:23:45.885981,401.56,0.409,0.00019907478404714436,0.426815,5.441,7.848,,,,,,,,
150,0.438,2026-02-22T00:24:12.544166,428.22,0.4675,0.00019854078984834903,0.392318,5.441,7.848,,,,,,,,
160,0.4672,2026-02-22T00:24:39.704468,455.38,0.4349,0.0001978867388761685,0.502722,5.441,7.848,,,,,,,,
170,0.4964,2026-02-22T00:25:05.953129,481.63,0.4138,0.00019711342799096361,0.489365,5.441,7.848,,,,,,,,
180,0.5255,2026-02-22T00:25:32.542680,508.21,0.4028,0.00019622179935292855,0.396793,5.441,7.848,,,,,,,,
190,0.5547,2026-02-22T00:25:58.917272,534.59,0.4013,0.00019521293927421388,0.458866,5.441,7.848,,,,,,,,
200,0.5839,2026-02-22T00:26:24.534114,560.21,0.4157,0.00019408807689542257,0.463142,5.441,7.848,,,,,,,,
200,0.5839,2026-02-22T00:26:54.854453,590.53,,,,5.441,7.848,0.399828,30.3171,20.088,5.047,,,,
210,0.6131,2026-02-22T00:27:22.223443,617.9,0.4083,0.00019284858268809137,0.415437,5.441,7.848,,,,,,,,
220,0.6423,2026-02-22T00:27:48.631835,644.3,0.4125,0.0001914959667849825,0.449256,5.441,7.848,,,,,,,,
230,0.6715,2026-02-22T00:28:14.753154,670.43,0.4135,0.00019003187714021938,0.427559,5.441,7.848,,,,,,,,
240,0.7007,2026-02-22T00:28:40.338853,696.01,0.429,0.0001884580975215084,0.410633,5.441,7.848,,,,,,,,
250,0.7299,2026-02-22T00:29:05.441264,721.11,0.3952,0.00018677654533689287,0.426759,5.441,7.848,,,,,,,,
260,0.7591,2026-02-22T00:29:31.143535,746.82,0.3754,0.00018498926929868642,0.421628,5.441,7.848,,,,,,,,
270,0.7883,2026-02-22T00:29:57.976742,773.65,0.3648,0.00018309844692743283,0.452163,5.441,7.848,,,,,,,,
280,0.8175,2026-02-22T00:30:24.522848,800.2,0.3952,0.00018110638189893267,0.346934,5.441,7.848,,,,,,,,
290,0.8467,2026-02-22T00:30:48.425055,824.1,0.3579,0.00017901550123756906,0.492412,5.441,7.848,,,,,,,,
300,0.8759,2026-02-22T00:31:14.301260,849.97,0.3924,0.00017682835235935236,0.48234,5.441,7.848,,,,,,,,
300,0.8759,2026-02-22T00:31:44.540029,880.21,,,,5.441,7.848,0.384138,30.2344,20.143,5.06,,,,
