step,epoch,timestamp,wall_time_s,train_loss,learning_rate,grad_norm,gpu_mem_allocated_gb,gpu_mem_reserved_gb,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos
10,0.0292,2026-08-29T12:50:33.202684,53.88,2.6082,1.8e-05,1.33912,5.485,6.941,,,,,,,,
20,0.0584,2026-08-29T12:51:18.731384,99.41,2.2966,3.8e-05,1.291216,5.487,7.855,,,,,,,,
30,0.0876,2026-08-29T12:52:02.881329,143.56,1.3252,5.8e-05,0.775555,5.487,7.855,,,,,,,,
40,0.1168,2026-08-29T12:52:47.708059,188.39,0.664,7.800000000000001e-05,0.481632,5.487,7.855,,,,,,,,
50,0.146,2026-08-29T12:53:33.852631,234.53,0.4676,9.8e-05,0.389753,5.487,7.855,,,,,,,,
60,0.1752,2026-08-29T12:54:18.231165,278.91,0.3444,0.000118,0.334356,5.487,7.855,,,,,,,,
70,0.2044,2026-08-29T12:55:05.401915,326.08,0.3728,0.000138,0.292331,5.49,8.555,,,,,,,,
80,0.2336,2026-08-29T12:55:51.744705,372.43,0.2974,0.00015800000000000002,0.262017,5.49,8.555,,,,,,,,
90,0.2628,2026-08-29T12:56:35.870800,416.55,0.2702,0.00017800000000000002,0.253789,5.49,8.555,,,,,,,,
100,0.292,2026-08-29T12:57:20.061858,460.74,0.254,0.00019800000000000002,0.239178,5.49,8.555,,,,,,,,
100,0.292,2026-08-29T12:58:12.129078,512.81,,,,5.49,9.346,0.239935,52.0639,11.697,2.939,,,,
110,0.3212,2026-08-29T12:59:00.330075,561.01,0.2504,0.00019995065603657316,0.272107,5.49,9.346,,,,,,,,
120,0.3504,2026-08-29T12:59:44.659266,605.34,0.2292,0.000199780146829205,0.222661,5.49,9.346,,,,,,,,
130,0.3796,2026-08-29T13:00:29.174626,649.86,0.2515,0.00019948807088287883,0.316421,5.49,9.346,,,,,,,,
140,0.4088,2026-08-29T13:01:13.885907,694.57,0.2471,0.00019907478404714436,0.299243,5.49,9.346,,,,,,,,
150,0.438,2026-08-29T13:01:58.740167,739.42,0.2484,0.00019854078984834903,0.313801,5.49,9.346,,,,,,,,
