step,epoch,timestamp,wall_time_s,train_loss,learning_rate,grad_norm,gpu_mem_allocated_gb,gpu_mem_reserved_gb,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos
510,1.4876,2026-08-29T12:50:38.604054,68.48,0.1346,0.00011426289337055119,0.178763,5.641,7.594,,,,,,,,
520,1.5168,2026-08-29T12:51:27.205889,117.08,0.1169,0.0001107999355706023,0.195724,5.641,7.594,,,,,,,,
530,1.546,2026-08-29T12:52:17.694436,167.57,0.1192,0.00010732381971276318,0.193714,5.643,7.594,,,,,,,,
540,1.5752,2026-08-29T12:53:07.275141,217.15,0.1181,0.00010383878090875201,0.225368,5.643,7.594,,,,,,,,
550,1.6044,2026-08-29T12:53:56.229423,266.11,0.1104,0.00010034906514152238,0.153795,5.643,7.594,,,,,,,,
560,1.6336,2026-08-29T12:54:47.441215,317.32,0.1248,9.685892409218717e-05,0.183783,5.643,7.594,,,,,,,,
570,1.6628,2026-08-29T12:55:37.388013,367.27,0.1325,9.337260996000002e-05,0.196335,5.643,7.594,,,,,,,,
580,1.692,2026-08-29T12:56:27.569918,417.45,0.1189,8.989437028170537e-05,0.272592,5.643,7.594,,,,,,,,
590,1.7212,2026-08-29T12:57:19.150156,469.03,0.1414,8.642844275656957e-05,0.215451,5.643,7.594,,,,,,,,
600,1.7504,2026-08-29T12:58:09.015300,518.89,0.1268,8.297905008339677e-05,0.239795,5.643,7.594,,,,,,,,
600,1.7504,2026-08-29T12:59:07.437726,577.32,,,,5.643,8.857,0.15272,58.4194,10.425,2.619,,,,
610,1.7796,2026-08-29T13:00:01.420500,631.3,0.1277,7.955039481582097e-05,0.210234,5.643,8.857,,,,,,,,
620,1.8088,2026-08-29T13:00:52.358878,682.24,0.1274,7.614665424214193e-05,0.158916,5.643,8.857,,,,,,,,
630,1.838,2026-08-29T13:01:43.240015,733.12,0.1256,7.277197529594257e-05,0.142097,5.643,8.857,,,,,,,,
640,1.8672,2026-08-29T13:02:35.794093,785.67,0.1306,6.943046950368944e-05,0.199579,5.643,8.857,,,,,,,,
650,1.8964,2026-08-29T13:03:26.360819,836.24,0.1166,6.612620797547087e-05,0.196133,5.643,8.857,,,,,,,,
660,1.9255,2026-08-29T13:04:16.681128,886.56,0.1256,6.286321644497655e-05,0.214832,5.643,8.857,,,,,,,,
670,1.9547,2026-08-29T13:05:06.906086,936.78,0.1209,5.964547036476099e-05,0.199608,5.643,8.857,,,,,,,,
680,1.9839,2026-08-29T13:05:55.304112,985.18,0.1026,5.647689006276726e-05,0.150315,5.643,8.857,,,,,,,,
690,2.0117,2026-08-29T13:06:43.491837,1033.37,0.1174,5.33613359660109e-05,0.230154,5.643,8.857,,,,,,,,
700,2.0409,2026-08-29T13:07:33.413261,1083.29,0.1196,5.0302603897244474e-05,0.18749,5.645,8.857,,,,,,,,
700,2.0409,2026-08-29T13:08:31.840430,1141.72,,,,5.645,8.857,0.149788,58.4246,10.424,2.619,,,,
710,2.0701,2026-08-29T13:09:24.933321,1194.81,0.1201,4.7304420450332244e-05,0.16851,5.645,8.857,,,,,,,,
720,2.0993,2026-08-29T13:10:15.667234,1245.55,0.1226,4.437043844996952e-05,0.143659,5.645,8.857,,,,,,,,
730,2.1285,2026-08-29T13:11:06.276117,1296.15,0.117,4.150423250127845e-05,0.193654,5.645,8.857,,,,,,,,
740,2.1577,2026-08-29T13:11:57.194858,1347.07,0.1182,3.8709294634702376e-05,0.168431,5.645,8.857,,,,,,,,
750,2.1869,2026-08-29T13:12:47.329977,1397.21,0.1084,3.5989030051504434e-05,0.225432,5.645,8.857,,,,,,,,
760,2.2161,2026-08-29T13:13:39.561324,1449.44,0.1121,3.334675297505476e-05,0.250154,5.645,8.857,,,,,,,,
770,2.2453,2026-08-29T13:14:29.895602,1499.77,0.1153,3.078568261295933e-05,0.168776,5.645,8.857,,,,,,,,
780,2.2745,2026-08-29T13:15:21.602489,1551.48,0.1157,2.8308939234951726e-05,0.247465,5.645,8.857,,,,,,,,
790,2.3036,2026-08-29T13:16:11.920497,1601.8,0.1109,2.591954037132499e-05,0.199445,5.645,8.857,,,,,,,,
800,2.3328,2026-08-29T13:17:01.323674,1651.2,0.1103,2.362039713653581e-05,0.188206,5.645,8.857,,,,,,,,
800,2.3328,2026-08-29T13:17:59.811434,1709.69,,,,5.645,8.857,0.14802,58.4853,10.413,2.616,,,,
810,2.362,2026-08-29T13:18:53.211427,1763.09,0.1188,2.1414310682459802e-05,0.202473,5.645,8.857,,,,,,,,
820,2.3912,2026-08-29T13:19:43.399887,1813.28,0.1071,1.930396878561983e-05,0.212819,5.645,8.857,,,,,,,,
830,2.4204,2026-08-29T13:20:33.193858,1863.07,0.1235,1.7291942572543807e-05,0.361027,5.645,8.857,,,,,,,,
840,2.4496,2026-08-29T13:21:25.178365,1915.06,0.1238,1.538068338724361e-05,0.203177,5.645,8.857,,,,,,,,
850,2.4788,2026-08-29T13:22:15.835986,1965.71,0.1187,1.3572519804629536e-05,0.188921,5.645,8.857,,,,,,,,
860,2.508,2026-08-29T13:23:05.800347,2015.68,0.1058,1.1869654793500784e-05,0.187421,5.645,8.857,,,,,,,,
870,2.5372,2026-08-29T13:23:56.998368,2066.88,0.1123,1.0274163032567163e-05,0.193403,5.645,8.857,,,,,,,,
880,2.5664,2026-08-29T13:24:48.949262,2118.83,0.1243,8.787988382772705e-06,0.209383,5.645,8.857,,,,,,,,
890,2.5956,2026-08-29T13:25:40.367553,2170.25,0.1121,7.412941519000527e-06,0.261129,5.645,8.857,,,,,,,,
900,2.6248,2026-08-29T13:26:32.926616,2222.81,0.115,6.1506977240444074e-06,0.242431,5.645,8.857,,,,,,,,
900,2.6248,2026-08-29T13:27:31.378042,2281.26,,,,5.645,8.857,0.147711,58.449,10.419,2.618,,,,
910,2.654,2026-08-29T13:28:24.278530,2334.16,0.1169,5.002794847534764e-06,0.212888,5.645,8.857,,,,,,,,
920,2.6832,2026-08-29T13:29:15.826178,2385.7,0.1172,3.970631432305694e-06,0.174356,5.645,8.857,,,,,,,,
