step,epoch,timestamp,wall_time_s,train_loss,learning_rate,grad_norm,gpu_mem_allocated_gb,gpu_mem_reserved_gb,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos
810,2.362,2026-08-29T14:03:39.984398,92.7,0.1353,2.1414310682459802e-05,0.269489,5.439,7.398,,,,,,,,
820,2.3912,2026-08-29T14:05:13.565580,186.28,0.1448,1.930396878561983e-05,0.282352,5.44,7.398,,,,,,,,
830,2.4204,2026-08-29T14:06:47.183254,279.9,0.1306,1.7291942572543807e-05,0.309754,5.44,7.398,,,,,,,,
840,2.4496,2026-08-29T14:08:23.695990,376.42,0.1361,1.538068338724361e-05,0.265423,5.442,7.398,,,,,,,,
850,2.4788,2026-08-29T14:09:59.937924,472.66,0.1412,1.3572519804629536e-05,0.311458,5.442,7.398,,,,,,,,
860,2.508,2026-08-29T14:11:34.672037,567.39,0.1272,1.1869654793500784e-05,0.244765,5.442,7.4,,,,,,,,
870,2.5372,2026-08-29T14:13:10.113459,662.83,0.1242,1.0274163032567163e-05,0.288498,5.442,7.4,,,,,,,,
880,2.5664,2026-08-29T14:14:46.560907,759.28,0.1208,8.787988382772705e-06,0.274081,5.442,7.4,,,,,,,,
890,2.5956,2026-08-29T14:16:17.907523,850.63,0.1266,7.412941519000527e-06,0.268685,5.442,7.4,,,,,,,,
900,2.6248,2026-08-29T14:17:54.193964,946.91,0.1202,6.1506977240444074e-06,0.262052,5.442,7.4,,,,,,,,
900,2.6248,2026-08-29T14:19:47.039172,1059.76,,,,5.442,8.469,0.175579,112.8426,5.397,1.356,,,,
910,2.654,2026-08-29T14:21:24.733236,1157.45,0.1341,5.002794847534764e-06,0.30806,5.442,8.469,,,,,,,,
920,2.6832,2026-08-29T14:22:56.430933,1249.15,0.1228,3.970631432305694e-06,0.244078,5.442,8.469,,,,,,,,
930,2.7124,2026-08-29T14:24:31.255286,1343.97,0.1446,3.0554650104861136e-06,0.230369,5.442,8.469,,,,,,,,
940,2.7416,2026-08-29T14:26:05.323345,1438.04,0.1319,2.2584105713904125e-06,0.27279,5.442,8.469,,,,,,,,
950,2.7708,2026-08-29T14:27:38.579979,1531.3,0.1385,1.580439203075812e-06,0.27736,5.442,8.469,,,,,,,,
960,2.8,2026-08-29T14:29:13.546579,1626.27,0.1308,1.0223769092211012e-06,0.23161,5.442,8.469,,,,,,,,
970,2.8292,2026-08-29T14:30:47.444400,1720.16,0.1306,5.849036027684606e-07,0.25917,5.442,8.469,,,,,,,,
980,2.8584,2026-08-29T14:32:23.206319,1815.93,0.1329,2.685522775541904e-07,0.238315,5.442,8.469,,,,,,,,
990,2.8876,2026-08-29T14:34:00.285712,1913.0,0.1277,7.370835893788508e-08,0.263604,5.442,8.469,,,,,,,,
1000,2.9168,2026-08-29T14:35:34.386070,2007.11,0.1376,6.092342209607083e-10,0.357871,5.442,8.469,,,,,,,,
1000,2.9168,2026-08-29T14:37:26.552990,2119.27,,,,5.442,8.469,0.175674,112.1644,5.43,1.364,,,,
1000,2.9168,2026-08-29T14:37:28.670998,2121.39,0.026386,,,5.442,8.469,,,,,2121.3965,7.542,0.471,2.188248812365701e+17
