step,epoch,timestamp,wall_time_s,train_loss,learning_rate,grad_norm,gpu_mem_allocated_gb,gpu_mem_reserved_gb,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos
310,0.9051,2026-08-29T15:56:56.199727,43.02,0.1943,0.00017454759996828623,0.183809,5.44,6.941,,,,,,,,
320,0.9343,2026-08-29T15:57:37.710822,84.53,0.1982,0.00017217602280983623,0.157908,5.44,6.941,,,,,,,,
330,0.9635,2026-08-29T15:58:18.607065,125.43,0.1971,0.00016971651028545648,0.233261,5.44,6.941,,,,,,,,
340,0.9927,2026-08-29T15:58:59.077027,165.9,0.1799,0.00016717205893229903,0.210811,5.44,6.943,,,,,,,,
350,1.0204,2026-08-29T15:59:39.172974,205.99,0.2059,0.00016454576877239507,0.217611,5.443,7.613,,,,,,,,
360,1.0496,2026-08-29T16:00:19.834654,246.65,0.1673,0.0001618408395357554,0.214304,5.443,7.613,,,,,,,,
370,1.0788,2026-08-29T16:01:02.216200,289.04,0.1835,0.00015906056676199255,0.235603,5.443,7.613,,,,,,,,
380,1.108,2026-08-29T16:01:43.078090,329.9,0.1659,0.00015620833778521307,0.172031,5.443,7.613,,,,,,,,
390,1.1372,2026-08-29T16:02:25.543137,372.36,0.1879,0.000153287627607073,0.2251,5.443,7.613,,,,,,,,
400,1.1664,2026-08-29T16:03:06.557559,413.38,0.1743,0.00015030199466302353,0.238274,5.443,7.613,,,,,,,,
400,1.1664,2026-08-29T16:03:55.108452,461.93,,,,5.443,8.469,0.181047,48.5483,12.544,3.151,,,,
410,1.1956,2026-08-29T16:04:38.879836,505.7,0.1691,0.00014725507648690543,0.22774,5.443,8.469,,,,,,,,
420,1.2248,2026-08-29T16:05:21.658358,548.48,0.1705,0.00014415058527917452,0.238049,5.443,8.469,,,,,,,,
430,1.254,2026-08-29T16:06:02.699290,589.52,0.1741,0.00014099230338415728,0.23979,5.443,8.469,,,,,,,,
440,1.2832,2026-08-29T16:06:44.056555,630.88,0.1759,0.00013778407868184672,0.203938,5.443,8.469,,,,,,,,
450,1.3124,2026-08-29T16:07:25.572344,672.39,0.1657,0.00013452981989985348,0.18518,5.443,8.469,,,,,,,,
460,1.3416,2026-08-29T16:08:06.381468,713.2,0.17,0.00013123349185122327,0.20515,5.443,8.469,,,,,,,,
470,1.3708,2026-08-29T16:08:49.338632,756.16,0.1879,0.00012789911060392294,0.230104,5.443,8.469,,,,,,,,
